,STARTDATE,ELAPSED,USERID,EVENTID,EVENT_DESC,WORKSPACEID,WS_DESC,TRANSACTIONTYPE,CORE_ID,HR_ORGANIZATION,LOCATION,USER_ROLE,MAG_CODE,ELAPSED_normalized,score
5741,2019-04-29 19:20:41,0.701,60894,x84sljJzv,Team Allocation, ,Exception,1,RP1776,CORP.SSC-HRM,US-AUS01,_PM+RM+Portfolio,RY3,0.040754232269190685,4.5674850794
5879,2019-05-01 20:11:00,2.395,59568,x84sljJzv,Team Allocation, ,Exception,1,RFVP50,HPMS.DN,US-AUS01,_PMO+RM,RNG,0.013650706789133445,3.2157982525
5892,2019-05-02 03:58:41,1.464,8926302,x84sljJzv,Team Allocation, ,Exception,1,NXA04773,HPMS.SIP,US-CHD01,_Resource Manager,RD9,0.008882818097973899,2.5026247149
5926,2019-05-02 09:39:02,0.9,10782842,x84sljJzv,Team Allocation, ,Exception,1,NXF28689,HPMS.AMP,IN-NDA02,_PM+RM,RNG,0.008925681945961548,2.5133435499
5954,2019-05-02 13:46:18,1.179,20465652,x84sljJzv,Team Allocation, ,Exception,1,NXF36872,"HPMS.Kechichian, Kevork - NXF53803",DE-MUC02,_Resource Manager,RP2,0.008332017651332603,2.385621387
5982,2019-05-02 21:11:56,1.918,60037,x84sljJzv,Team Allocation, ,Exception,1,B22774,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.0795074372348246,5.0969308418
6029,2019-05-03 10:34:02,0.83,57150,x84sljJzv,Team Allocation, ,Exception,1,R53662,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.03764803208501902,4.4741249616
6105,2019-05-03 20:08:15,2.881,58611,x84sljJzv,Team Allocation, ,Exception,0,RXHR70,HPMS.AAA,US-CHD01,_Resource Manager,RPM,0.009557923703779378,2.6457886676
6267,2019-05-06 16:16:47,3.73,56954,x84sljJzv,Team Allocation, ,Exception,1,B36293,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RP2,0.012909876616413568,3.1305065571
6326,2019-05-07 00:29:02,3.333,8715120,x84sljJzv,Team Allocation, ,Exception,1,NXP79085,HPMS.SIP,US-CHD01,_Resource Manager,RD9,0.013096334355159844,3.1515074542
6350,2019-05-07 06:09:29,1.5,3261824,x84sljJzv,Team Allocation, ,Exception,1,ATP50549,HPMS.STI,AT-GRK01-s1,_PMO+RM,RC9,0.009483626367267453,2.6329547209
6401,2019-05-07 10:58:44,5.13,7631748,x84sljJzv,Team Allocation, ,Exception,0,NLV03630,HPMS.AAA,NL-NYM01-s1,_PMO+RM,R16,0.03871391310497857,4.5131586618
6404,2019-05-07 11:19:38,4.733,7631998,x84sljJzv,Team Allocation, ,Exception,0,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.01640970980460515,3.5017397546
6414,2019-05-07 12:54:16,7.351,2169324,x84sljJzv,Team Allocation, ,Exception,1,nlv20413,T&O.TO-PT,NL-HTC01-s1,_PMO+RM,RPT,0.010288752311968801,2.7744520764
