,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
124,"frozenset({'4_to_6', '_Core Team Support User'})",frozenset({'NXP-REMOTE'}),0.010801728276524244,0.03336533845415266,0.010801728276524244,1.0,29.971223021582738,0.010441324956688222,inf
125,"frozenset({'4_to_6', 'NXP-REMOTE'})",frozenset({'_Core Team Support User'}),0.012481997119539127,0.030724915986557848,0.010801728276524244,0.8653846153846154,28.165564903846157,0.010418219963681948,7.20032919552843
126,frozenset({'_Core Team Support User'}),"frozenset({'4_to_6', 'NXP-REMOTE'})",0.030724915986557848,0.012481997119539127,0.010801728276524244,0.35156250000000006,28.165564903846157,0.010418219963681948,1.5229193297433614
127,frozenset({'NXP-REMOTE'}),"frozenset({'4_to_6', '_Core Team Support User'})",0.03336533845415266,0.010801728276524244,0.010801728276524244,0.32374100719424465,29.971223021582738,0.010441324956688222,1.4627506358464162
128,"frozenset({'4_to_6', '_PMO+RM'})",frozenset({'T&O.TO-FO'}),0.12962073931829093,0.04752760441670667,0.013922227556409025,0.1074074074074074,2.2598952487841375,0.007761664333888237,1.0670852564626108
129,"frozenset({'4_to_6', 'T&O.TO-FO'})",frozenset({'_PMO+RM'}),0.02328372539606337,0.21339414306289006,0.013922227556409025,0.5979381443298969,2.80203634339522,0.008953616928204431,1.956429951869222
130,frozenset({'_PMO+RM'}),"frozenset({'4_to_6', 'T&O.TO-FO'})",0.21339414306289006,0.02328372539606337,0.013922227556409025,0.06524184476940383,2.80203634339522,0.008953616928204431,1.0448866042393499
131,frozenset({'T&O.TO-FO'}),"frozenset({'4_to_6', '_PMO+RM'})",0.04752760441670667,0.12962073931829093,0.013922227556409025,0.29292929292929293,2.2598952487841375,0.007761664333888237,1.2309649543927028
132,"frozenset({'4_to_6', '_Core Team Support User'})",frozenset({'The Support IT.A Support PMO'}),0.010801728276524244,0.03336533845415266,0.010801728276524244,1.0,29.971223021582738,0.010441324956688222,inf
133,"frozenset({'4_to_6', 'The Support IT.A Support PMO'})",frozenset({'_Core Team Support User'}),0.012481997119539127,0.030724915986557848,0.010801728276524244,0.8653846153846154,28.165564903846157,0.010418219963681948,7.20032919552843
134,frozenset({'_Core Team Support User'}),"frozenset({'4_to_6', 'The Support IT.A Support PMO'})",0.030724915986557848,0.012481997119539127,0.010801728276524244,0.35156250000000006,28.165564903846157,0.010418219963681948,1.5229193297433614
135,frozenset({'The Support IT.A Support PMO'}),"frozenset({'4_to_6', '_Core Team Support User'})",0.03336533845415266,0.010801728276524244,0.010801728276524244,0.32374100719424465,29.971223021582738,0.010441324956688222,1.4627506358464162
136,"frozenset({'AT-GRK01-s1', '6_or_more'})",frozenset({'HPMS.STI'}),0.047767642822851654,0.2642822851656265,0.03768602976476236,0.7889447236180904,2.98523498509806,0.025061887962563686,3.4859006012390545
137,"frozenset({'HPMS.STI', '6_or_more'})",frozenset({'AT-GRK01-s1'}),0.0972155544887182,0.12722035525684108,0.03768602976476236,0.3876543209876543,3.047109247612392,0.02531823238621684,1.4253054682297555
138,frozenset({'AT-GRK01-s1'}),"frozenset({'HPMS.STI', '6_or_more'})",0.12722035525684108,0.0972155544887182,0.03768602976476236,0.2962264150943396,3.0471092476123918,0.02531823238621684,1.2827768260616068
139,frozenset({'HPMS.STI'}),"frozenset({'AT-GRK01-s1', '6_or_more'})",0.2642822851656265,0.047767642822851654,0.03768602976476236,0.14259763851044505,2.9852349850980606,0.025061887962563686,1.1106015098008901
140,"frozenset({'DE-HBG02', '6_or_more'})",frozenset({'HPMS.CBS'}),0.03912626020163226,0.07417186749879981,0.011041766682669226,0.2822085889570552,3.80479282069609,0.008139698895270194,1.2898289367324411
141,"frozenset({'HPMS.CBS', '6_or_more'})",frozenset({'DE-HBG02'}),0.03720595295247239,0.09241478636581853,0.011041766682669226,0.2967741935483871,3.2113280268118976,0.007603386489029795,1.2906028267275056
142,frozenset({'DE-HBG02'}),"frozenset({'HPMS.CBS', '6_or_more'})",0.09241478636581853,0.03720595295247239,0.011041766682669226,0.11948051948051948,3.211328026811898,0.007603386489029795,1.0934386670008795
