,STARTDATE,ELAPSED,score
51977,2019-04-10 13:48:00,0.05637366666666667,2.1789427906
51981,2019-04-10 13:52:00,0.06511216666666667,2.5874905322
52041,2019-04-10 14:52:00,0.08044366666666666,3.180762334
52050,2019-04-10 15:01:00,0.065898,2.6194967542
52117,2019-04-10 16:08:00,0.12075766666666667,4.4096835627
52455,2019-04-10 21:46:00,0.2576405,6.3794079084
52701,2019-04-11 01:52:00,0.03490116666666667,1.5328075263
53373,2019-04-11 13:04:00,0.039753333333333335,1.7177006303
53445,2019-04-11 14:16:00,0.053467,2.092313448
53474,2019-04-11 14:45:00,0.0465375,1.9395335671
53481,2019-04-11 14:52:00,0.03596616666666667,1.5450427395
53529,2019-04-11 15:40:00,0.04002066666666666,1.7031186433
53634,2019-04-11 17:25:00,0.092447,3.6493393567
54440,2019-04-12 06:51:00,0.07000383333333333,2.8143044681
54453,2019-04-12 07:04:00,0.11889299999999998,4.3703279179
54503,2019-04-12 07:54:00,0.042770166666666665,1.7500617887
54504,2019-04-12 07:55:00,0.034874333333333334,1.5331312062
54557,2019-04-12 08:48:00,0.05094366666666666,2.0225264613
54558,2019-04-12 08:49:00,0.04067866666666667,1.7070993421
54559,2019-04-12 08:50:00,0.03663983333333333,1.5851891698
54561,2019-04-12 08:52:00,0.09482750000000001,3.7022186029
54563,2019-04-12 08:54:00,0.03860466666666666,1.6920425387
54564,2019-04-12 08:55:00,0.034722333333333334,1.5350292924
54565,2019-04-12 08:56:00,0.043804833333333335,1.7835135212
54573,2019-04-12 09:04:00,0.042007666666666665,1.7207219739
54577,2019-04-12 09:08:00,0.09027066666666667,3.5805703095
54587,2019-04-12 09:18:00,0.043923166666666666,1.7871334122
54599,2019-04-12 09:30:00,0.05817633333333333,2.2665139493
54606,2019-04-12 09:37:00,0.07949083333333333,3.1605957751
54623,2019-04-12 09:54:00,0.06922916666666666,2.7906530138
54634,2019-04-12 10:05:00,0.27087633333333333,6.4894180543
54705,2019-04-12 11:16:00,0.037942,1.668791729
54736,2019-04-12 11:47:00,0.7298996666666666,7.9812582855
54795,2019-04-12 12:46:00,0.03615416666666667,1.5507501792
54873,2019-04-12 14:04:00,0.06571366666666666,2.6128932465
54898,2019-04-12 14:29:00,0.09983016666666666,3.8567430424
54899,2019-04-12 14:30:00,0.06373483333333332,2.491674879
54903,2019-04-12 14:34:00,0.042408,1.7296688434
54904,2019-04-12 14:35:00,0.035915166666666665,1.5456347764
54906,2019-04-12 14:37:00,0.0365015,1.572934687
54915,2019-04-12 14:46:00,0.04681949999999999,1.9412590793
