,STARTDATE,ELAPSED,ELAPSED_normalized,score
88488,2019-03-12 09:39:33,1.169,0.010150278161532978,2.4797007641
88493,2019-03-12 09:39:47,2.18,0.011256844259941699,2.6953140661
88500,2019-03-12 09:40:08,0.631,0.0091605838183286,2.284078112
88505,2019-03-12 09:40:47,1.212,0.009572674978297658,2.3677576259
88509,2019-03-12 09:41:22,2.406,0.012841030768347344,2.9599501191
88527,2019-03-12 09:42:13,0.792,0.009758453779923053,2.4027478254
88538,2019-03-12 09:42:48,1.417,0.009811147403656802,2.4132685429
88546,2019-03-12 09:43:23,1.854,0.008983587287325494,2.248297393
88552,2019-03-12 09:44:03,2.181,0.00922476194979919,2.2959902059
88567,2019-03-12 09:44:41,1.754,0.008034426500839383,2.0601679891
88585,2019-03-12 09:45:32,5.067,0.012791039381728148,2.9531847227
88596,2019-03-12 09:46:09,0.579,0.012218165113443293,2.8547597734
88620,2019-03-12 09:46:55,1.517,0.009062627722926118,2.2619591653
88643,2019-03-12 09:47:25,3.289,0.011830394087505193,2.7926519369
88660,2019-03-12 09:48:04,1.164,0.008078337853950839,2.0699658157
88662,2019-03-12 09:48:35,4.961,0.008483673421133521,2.1565255675
88768,2019-03-12 09:53:15,1.059,0.01437319921229788,3.1896929983
88782,2019-03-12 09:53:52,0.227,0.009354469331297648,2.3166211715
88808,2019-03-12 09:55:45,3.333,0.009711840189697046,2.3940457714
88815,2019-03-12 09:56:16,2.437,0.008001324096186131,2.0548993645
88820,2019-03-12 09:56:34,0.604,0.010690725584443221,2.6001359978
88847,2019-03-12 09:58:50,2.753,0.020110048606490096,3.8246974571
88915,2019-03-12 10:04:05,0.736,0.009045738740960173,2.259046617
88954,2019-03-12 10:06:56,2.034,0.030782534090410096,4.5135503168
88958,2019-03-12 10:07:02,2.515,0.038827769539707686,4.8215205016
89009,2019-03-12 10:10:18,4.166,0.040573414715707766,4.8732891445
89049,2019-03-12 10:11:26,0.758,0.011231173007353462,2.6919239897
89071,2019-03-12 10:13:14,1.178,0.011464916517762143,2.7280615735
89106,2019-03-12 10:15:17,4.783,0.008529611452080893,2.1641986523
89107,2019-03-12 10:15:25,12.175,0.00846273108349575,2.1522284539
89112,2019-03-12 10:15:40,0.767,0.010433337499282219,2.5485929861
89210,2019-03-12 10:21:28,2.584,0.01662618940655495,3.4633381734
89231,2019-03-12 10:23:05,1.176,0.022677173865313743,4.0314251515
89246,2019-03-12 10:24:13,1.576,0.008002675214743404,2.0550938744
89249,2019-03-12 10:24:32,7.975,0.03981476164579752,4.8508799667
89277,2019-03-12 10:25:52,0.021,0.010593445048319378,2.5819764438
89287,2019-03-12 10:26:54,0.502,0.038308940013713856,4.8055176081
89321,2019-03-12 10:28:27,2.224,0.016695772012254643,3.4729532592
89328,2019-03-12 10:28:53,4.338,0.015570290254044068,3.3381035358
89337,2019-03-12 10:29:22,0.454,0.017921912102982253,3.6028044345
89349,2019-03-12 10:29:42,1.363,0.009503092372597964,2.3498824411
89378,2019-03-12 10:30:38,0.723,0.02324937257431996,4.0771852495
89389,2019-03-12 10:30:53,4.645,0.024457948123802992,4.1608036462
89414,2019-03-12 10:33:01,0.764,0.0251497208251281,4.2044699047
89419,2019-03-12 10:33:13,2.851,0.021481433942124834,3.944458556
89436,2019-03-12 10:34:08,4.429,0.017677359644115372,3.5768227185
89456,2019-03-12 10:34:46,0.804,0.037871177601156554,4.7915998896
89457,2019-03-12 10:34:50,55.608,0.016562686834362995,3.4557645716
89466,2019-03-12 10:35:35,0.011,0.017171365744415655,3.5247772039
89481,2019-03-12 10:36:02,0.781,0.0163465078651989,3.4300434617
89509,2019-03-12 10:38:35,2.104,0.02307575383971005,4.0624992668
89515,2019-03-12 10:38:53,2.96,0.20480660426750794,6.1535474207
89522,2019-03-12 10:39:45,1.927,0.01762534157966026,3.5723057953
89523,2019-03-12 10:39:49,25.639,0.020995706820784256,3.903464934
89527,2019-03-12 10:40:19,1.374,0.00871471469442765,2.1971175699
89528,2019-03-12 10:40:28,12.449,0.008446517660808442,2.149519658
89626,2019-03-12 10:49:37,1.104,0.019121029822564355,3.7317060306
89636,2019-03-12 10:50:10,1.667,0.008747141539802264,2.2034875591
89642,2019-03-12 10:50:49,2.374,0.015600014862304128,3.3415585861
89654,2019-03-12 10:52:47,0.219,0.024240418036081617,4.147319697
89683,2019-03-12 10:55:07,4.461,0.015666219671610634,3.3492114473
89694,2019-03-12 10:56:31,1.192,0.01344227852633499,3.058330496
89695,2019-03-12 10:56:36,19.447,0.03582355742760538,4.7206982102
89706,2019-03-12 10:57:50,0.411,0.012567429260499037,2.9166137208
89709,2019-03-12 10:58:12,1.116,0.008906573529560785,2.2356296801
89729,2019-03-12 11:00:32,1.184,0.018146873342768644,3.6297157126
89734,2019-03-12 11:01:08,2.744,0.01568851312780568,3.3517888823
89745,2019-03-12 11:02:23,0.421,0.016420819385849057,3.43806138
89755,2019-03-12 11:04:11,3.531,0.013126792343211137,3.0092350779
89825,2019-03-12 11:12:10,1.514,0.012968035912731253,2.9841619922
89878,2019-03-12 11:24:26,0.919,0.010948789228882861,2.6402650676
89920,2019-03-12 11:32:36,0.457,0.008082391209622666,2.0705575535
