Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'HPMS.Kechichian, Kevork - NXF53803', '_Program Manager', 'FR-CFR02-s1'})",0.01694532309082693,0.01694532309082693,0.0031631269769543608,0.27146055834009397,16.204794012069215,0.0029555041583438873,1.437599212871979
"frozenset({'HPMS.OPS', '_PM+RM', 'FR-CFR02-s1'})",0.03882361801476126,0.03882361801476126,0.0014309383943364965,0.22820133089033892,8.841894540381917,0.001200756221615381,1.4268292521747512
"frozenset({'HPMS.STI', '_PM+RM', 'FR-CFR02-s1'})",0.09544610132048,0.09544610132048,0.00971531857207411,0.3218814711378584,3.52804252361589,0.006912471967279968,1.6449761600604502
"frozenset({'HPMS.STI', '_Program Manager', 'FR-CFR02-s1'})",0.09438544961590602,0.09438544961590602,0.006552191595119747,0.2484012017817118,2.7527788905323796,0.004146449745658218,1.3380208611941364
"frozenset({'HPMS.STI', 'DE-MUC02', '_PM+RM'})",0.08834161771351107,0.08834161771351107,0.0018075011296882061,0.23917833681611092,2.857796777922736,0.0011512644170097591,1.3478243473340734
"frozenset({'HPMS.MICR', '_PM+RM', 'FR-MGI01'})",0.05084852136365917,0.050848521363659194,0.0021087513179695737,0.1947087290911931,7.827672995822925,0.0015534342502557478,1.210036352600726
"frozenset({'HPMS.STI', '_PM+RM', 'FR-MGI01'})",0.09120349450218405,0.09120349450218407,0.004217502635939147,0.24417353380466725,2.8326827857174983,0.002690456326122742,1.2982893009052847
"frozenset({'HPMS.STI', '_Program Manager', 'FR-MGI01'})",0.09056333785208615,0.09056333785208616,0.004217502635939147,0.24242159462531765,2.965467632481843,0.002731168851411169,1.3102802960209052
"frozenset({'HPMS.AAA', '_PMO+RM', 'FR-TLS02'})",0.05782120801325501,0.057821208013255014,0.01453532158457599,0.3353453400987059,5.784804414605192,0.0118875932272115,1.6230848386344894
"frozenset({'HPMS.AAA', 'FR-TLS02', '_Program Manager'})",0.05040292212682632,0.05040292212682633,0.0172465732791083,0.4497411399483432,9.659281549948933,0.015233536619356232,1.9771427893198728
"frozenset({'HPMS.AAA', 'FR-TLS02', '_Resource'})",0.03823994577496611,0.03823994577496611,0.0010543756589847869,0.23314762682791051,6.184526240411511,0.000883430697403261,1.3802761256122438
"frozenset({'HPMS.RPS', '_PMO+RM', 'FR-TLS02'})",0.04755987347492092,0.047559873474920925,0.004443440277150173,0.1145399971776176,2.4040078721587532,0.002551687560311579,1.0788437341344237
"frozenset({'HPMS.MICR', '_Program Manager', 'FR-MGI01'})",0.04277752673595421,0.04277752673595421,0.0027112516945323093,0.1656976795136095,3.882610491082164,0.0020128920242685412,1.1783793377057497
"frozenset({'HPMS.RPS', 'FR-TLS02', '_Program Manager'})",0.046825576140985085,0.046825576140985085,0.008133755083596927,0.2019500791273019,4.362601364995948,0.006244381762261874,1.2023312928712697
"frozenset({'DE-HBG02', '_PMO+RM', 'T&O.TO-PT'})",0.19174574484109053,0.19174574484109053,0.004970628106642567,0.44078947368421056,2.2988227146814406,0.002808378675706623,2.868249234322439
"frozenset({'DE-HBG02', '_PMO+RM', 'HPMS.STI'})",0.06465582165988853,0.06465582165988853,0.011070944419340261,0.17171121379355386,2.6557734382653564,0.006902311560894567,1.1293397505212701
"frozenset({'CN-SHA01-s1', 'HPMS.STI', '_Program Manager'})",0.12195611788924034,0.12195611788924034,0.010920319325199579,0.4362883622627543,4.524055927710317,0.007976380333558238,3.2283854717858467
