,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2854,"frozenset({'HPMS.OPS', 'TW-KHH01-s1'})","frozenset({'_PMO+RM', '6_or_more'})",0.0022593764121102574,0.12373851483657178,0.0010543756589847869,0.4666666666666667,3.7713937918441873,0.0007748037772934814,1.642990284681428
2855,frozenset({'_PMO+RM'}),"frozenset({'6_or_more', 'HPMS.OPS', 'TW-KHH01-s1'})",0.37776773610483505,0.0011296882060551287,0.0010543756589847869,0.0027910685805422647,2.470653907496013,0.0006276159028790085,1.0016660303795337
2856,frozenset({'HPMS.OPS'}),"frozenset({'_PMO+RM', '6_or_more', 'TW-KHH01-s1'})",0.019807199879499925,0.0010543756589847869,0.0010543756589847869,0.053231939163498096,50.48669201520912,0.0010334914295591958,1.0551112417738433
2857,frozenset({'TW-KHH01-s1'}),"frozenset({'_PMO+RM', '6_or_more', 'HPMS.OPS'})",0.0024100015062509415,0.0010543756589847869,0.0010543756589847869,0.4375,414.9375,0.0010518346120584792,1.7759033321618047
2858,"frozenset({'HPMS.RPS', '_PMO+RM', '6_or_more'})",frozenset({'US-CHD01'}),0.010317818948636842,0.08088567555354723,0.007154691971682482,0.6934306569343066,8.572972311707376,0.006320128215782801,2.998063391646763
2859,"frozenset({'_PMO+RM', '6_or_more', 'US-CHD01'})",frozenset({'HPMS.RPS'}),0.00941406838379274,0.07478535924084953,0.007154691971682482,0.76,10.162416918429003,0.0064506574856826185,3.855061003163127
2860,"frozenset({'HPMS.RPS', '_PMO+RM'})","frozenset({'6_or_more', 'US-CHD01'})",0.0414972134357584,0.022518451574032233,0.007154691971682482,0.17241379310344826,7.656556337216007,0.006220238980472077,1.1811235376813778
2861,"frozenset({'HPMS.RPS', '6_or_more'})","frozenset({'_PMO+RM', 'US-CHD01'})",0.031104081940051213,0.04722096701310438,0.007154691971682482,0.23002421307506052,4.871230464450804,0.005685927144418428,1.2374142786905278
2862,"frozenset({'_PMO+RM', 'US-CHD01'})","frozenset({'HPMS.RPS', '6_or_more'})",0.04722096701310438,0.031104081940051213,0.007154691971682482,0.15151515151515152,4.871230464450804,0.005685927144418428,1.1419130462849396
2863,"frozenset({'6_or_more', 'US-CHD01'})","frozenset({'HPMS.RPS', '_PMO+RM'})",0.022518451574032233,0.0414972134357584,0.007154691971682482,0.3177257525083612,7.656556337216007,0.006220238980472077,1.404864378346609
2864,frozenset({'HPMS.RPS'}),"frozenset({'_PMO+RM', '6_or_more', 'US-CHD01'})",0.07478535924084953,0.00941406838379274,0.007154691971682482,0.09566968781470292,10.162416918429003,0.0064506574856826185,1.0953806571212625
